========================================
Experiment: P Controller + Point Mass
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 10.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0

Plant
-----
Mass : 1.0 kg

Observed Results
----------------
- Position keeps oscillating around the Target
- The Force does not decrease fast enough as error decreases due to inertia
- Maximum observed position: 20.0001
- P control is unstable for point mass

Logs
----
time,position,velocity,controller_output
0, 0, 0, 20
0.01, 0.002, 0.2, 19.996
0.02, 0.0059996, 0.39996, 19.988
0.03, 0.011998, 0.59984, 19.976
0.04, 0.019994, 0.7996, 19.96
0.05, 0.029986, 0.9992, 19.94
0.06, 0.041972, 1.1986, 19.9161
0.07, 0.0559496, 1.39776, 19.8881
0.08, 0.071916, 1.59664, 19.8562
0.09, 0.0898681, 1.7952, 19.8203
0.1, 0.109802, 1.99341, 19.7804
0.11, 0.131714, 2.19121, 19.7366
0.12, 0.1556, 2.38858, 19.6888
0.13, 0.181455, 2.58546, 19.6371
0.14, 0.209273, 2.78183, 19.5815
0.15, 0.239049, 2.97765, 19.5219
0.16, 0.270778, 3.17287, 19.4584
0.17, 0.304453, 3.36745, 19.3911
0.18, 0.340066, 3.56136, 19.3199
0.19, 0.377612, 3.75456, 19.2448
0.2, 0.417082, 3.94701, 19.1658
0.21, 0.458469, 4.13867, 19.0831
0.22, 0.501764, 4.3295, 18.9965
0.23, 0.546958, 4.51946, 18.9061
0.24, 0.594044, 4.70852, 18.8119
0.25, 0.64301, 4.89664, 18.714
0.26, 0.693848, 5.08378, 18.6123
0.27, 0.746547, 5.26991, 18.5069
0.28, 0.801097, 5.45498, 18.3978
0.29, 0.857486, 5.63895, 18.285
0.3, 0.915704, 5.8218, 18.1686
0.31, 0.975739, 6.00349, 18.0485
0.32, 1.03758, 6.18398, 17.9248
0.33, 1.10121, 6.36322, 17.7976
0.34, 1.16662, 6.5412, 17.6668
0.35, 1.2338, 6.71787, 17.5324
0.36, 1.30273, 6.89319, 17.3945
0.37, 1.37341, 7.06714, 17.2532
0.38, 1.4458, 7.23967, 17.1084
0.39, 1.51991, 7.41075, 16.9602
0.4, 1.59571, 7.58035, 16.8086
0.41, 1.6732, 7.74844, 16.6536
0.42, 1.75235, 7.91498, 16.4953
0.43, 1.83315, 8.07993, 16.3337
0.44, 1.91558, 8.24327, 16.1688
0.45, 1.99963, 8.40495, 16.0007
0.46, 2.08528, 8.56496, 15.8294
0.47, 2.17251, 8.72326, 15.655
0.48, 2.26131, 8.87981, 15.4774
0.49, 2.35165, 9.03458, 15.2967
0.5, 2.44353, 9.18755, 15.1129
0.51, 2.53692, 9.33868, 14.9262
0.52, 2.6318, 9.48794, 14.7364
0.53, 2.72815, 9.6353, 14.5437
0.54, 2.82596, 9.78074, 14.3481
0.55, 2.9252, 9.92422, 14.1496
0.56, 3.02586, 10.0657, 13.9483
0.57, 3.12791, 10.2052, 13.7442
0.58, 3.23133, 10.3426, 13.5373
0.59, 3.33611, 10.478, 13.3278
0.6, 3.44223, 10.6113, 13.1155
0.61, 3.54965, 10.7424, 12.9007
0.62, 3.65837, 10.8715, 12.6833
0.63, 3.76835, 10.9983, 12.4633
0.64, 3.87958, 11.1229, 12.2408
0.65, 3.99203, 11.2453, 12.0159
0.66, 4.10569, 11.3655, 11.7886
0.67, 4.22052, 11.4834, 11.559
0.68, 4.33651, 11.599, 11.327
0.69, 4.45363, 11.7122, 11.0927
0.7, 4.57186, 11.8232, 10.8563
0.71, 4.69118, 11.9317, 10.6176
0.72, 4.81156, 12.0379, 10.3769
0.73, 4.93298, 12.1417, 10.134
0.74, 5.05541, 12.243, 9.88919
0.75, 5.17883, 12.3419, 9.64235
0.76, 5.30321, 12.4383, 9.39358
0.77, 5.42853, 12.5323, 9.14294
0.78, 5.55477, 12.6237, 8.89046
0.79, 5.68189, 12.7126, 8.63621
0.8, 5.80988, 12.799, 8.38023
0.81, 5.93871, 12.8828, 8.12258
0.82, 6.06835, 12.964, 7.8633
0.83, 6.19878, 13.0426, 7.60244
0.84, 6.32996, 13.1186, 7.34007
0.85, 6.46188, 13.192, 7.07623
0.86, 6.59451, 13.2628, 6.81097
0.87, 6.72782, 13.3309, 6.54436
0.88, 6.86179, 13.3964, 6.27643
0.89, 6.99638, 13.4591, 6.00725
0.9, 7.13157, 13.5192, 5.73686
0.91, 7.26733, 13.5766, 5.46533
0.92, 7.40365, 13.6312, 5.19271
0.93, 7.54048, 13.6831, 4.91904
0.94, 7.6778, 13.7323, 4.6444
0.95, 7.81559, 13.7788, 4.36882
0.96, 7.95381, 13.8225, 4.09237
0.97, 8.09245, 13.8634, 3.81511
0.98, 8.23146, 13.9015, 3.53707
0.99, 8.37083, 13.9369, 3.25834
1, 8.51053, 13.9695, 2.97895
1.01, 8.65052, 13.9993, 2.69896
1.02, 8.79078, 14.0263, 2.41843
1.03, 8.93129, 14.0505, 2.13743
1.04, 9.07201, 14.0718, 1.85599
1.05, 9.21291, 14.0904, 1.57418
1.06, 9.35397, 14.1061, 1.29206
1.07, 9.49516, 14.1191, 1.00968
1.08, 9.63645, 14.1292, 0.727094
1.09, 9.77782, 14.1364, 0.444366
1.1, 9.91923, 14.1409, 0.161549
1.11, 10.0607, 14.1425, -0.121301
1.12, 10.2021, 14.1413, -0.404126
1.13, 10.3434, 14.1372, -0.686871
1.14, 10.4847, 14.1304, -0.969478
1.15, 10.6259, 14.1207, -1.25189
1.16, 10.767, 14.1081, -1.53405
1.17, 10.908, 14.0928, -1.81591
1.18, 11.0487, 14.0746, -2.0974
1.19, 11.1892, 14.0537, -2.37848
1.2, 11.3295, 14.0299, -2.65907
1.21, 11.4696, 14.0033, -2.93914
1.22, 11.6093, 13.9739, -3.21862
1.23, 11.7487, 13.9417, -3.49745
1.24, 11.8878, 13.9067, -3.77559
1.25, 12.0265, 13.869, -4.05297
1.26, 12.1648, 13.8285, -4.32954
1.27, 12.3026, 13.7852, -4.60524
1.28, 12.44, 13.7391, -4.88002
1.29, 12.5769, 13.6903, -5.15383
1.3, 12.7133, 13.6388, -5.4266
1.31, 12.8491, 13.5845, -5.69829
1.32, 12.9844, 13.5275, -5.96884
1.33, 13.1191, 13.4678, -6.2382
1.34, 13.2532, 13.4055, -6.50631
1.35, 13.3866, 13.3404, -6.77312
1.36, 13.5193, 13.2727, -7.03857
1.37, 13.6513, 13.2023, -7.30262
1.38, 13.7826, 13.1292, -7.5652
1.39, 13.9131, 13.0536, -7.82627
1.4, 14.0429, 12.9753, -8.08578
1.41, 14.1718, 12.8945, -8.34367
1.42, 14.2999, 12.811, -8.59989
1.43, 14.4272, 12.725, -8.85439
1.44, 14.5536, 12.6365, -9.10712
1.45, 14.679, 12.5454, -9.35803
1.46, 14.8035, 12.4518, -9.60707
1.47, 14.9271, 12.3558, -9.85418
1.48, 15.0497, 12.2572, -10.0993
1.49, 15.1712, 12.1562, -10.3425
1.5, 15.2918, 12.0528, -10.5835
1.51, 15.4112, 11.947, -10.8224
1.52, 15.5296, 11.8388, -11.0592
1.53, 15.6469, 11.7282, -11.2938
1.54, 15.763, 11.6152, -11.5261
1.55, 15.878, 11.5, -11.7561
1.56, 15.9919, 11.3824, -11.9837
1.57, 16.1045, 11.2626, -12.209
1.58, 16.2159, 11.1405, -12.4318
1.59, 16.3261, 11.0162, -12.6521
1.6, 16.435, 10.8896, -12.8699
1.61, 16.5426, 10.7609, -13.0851
1.62, 16.6489, 10.6301, -13.2977
1.63, 16.7538, 10.4971, -13.5077
1.64, 16.8575, 10.362, -13.7149
1.65, 16.9597, 10.2249, -13.9194
1.66, 17.0606, 10.0857, -14.1211
1.67, 17.16, 9.94448, -14.32
1.68, 17.258, 9.80128, -14.516
1.69, 17.3546, 9.65612, -14.7092
1.7, 17.4497, 9.50902, -14.8993
1.71, 17.5433, 9.36003, -15.0865
1.72, 17.6354, 9.20916, -15.2707
1.73, 17.7259, 9.05646, -15.4519
1.74, 17.8149, 8.90194, -15.6299
1.75, 17.9024, 8.74564, -15.8048
1.76, 17.9883, 8.58759, -15.9766
1.77, 18.0726, 8.42783, -16.1451
1.78, 18.1552, 8.26637, -16.3104
1.79, 18.2363, 8.10327, -16.4725
1.8, 18.3156, 7.93855, -16.6313
1.81, 18.3934, 7.77223, -16.7867
1.82, 18.4694, 7.60437, -16.9388
1.83, 18.5438, 7.43498, -17.0875
1.84, 18.6164, 7.2641, -17.2328
1.85, 18.6873, 7.09177, -17.3746
1.86, 18.7565, 6.91803, -17.513
1.87, 18.8239, 6.7429, -17.6479
1.88, 18.8896, 6.56642, -17.7792
1.89, 18.9535, 6.38863, -17.907
1.9, 19.0156, 6.20956, -18.0311
1.91, 19.0759, 6.02925, -18.1517
1.92, 19.1343, 5.84773, -18.2687
1.93, 19.191, 5.66504, -18.382
1.94, 19.2458, 5.48122, -18.4916
1.95, 19.2988, 5.29631, -18.5975
1.96, 19.3499, 5.11033, -18.6997
1.97, 19.3991, 4.92333, -18.7982
1.98, 19.4465, 4.73535, -18.8929
1.99, 19.4919, 4.54642, -18.9838
2, 19.5355, 4.35658, -19.071
2.01, 19.5771, 4.16587, -19.1543
2.02, 19.6169, 3.97433, -19.2338
2.03, 19.6547, 3.78199, -19.3094
2.04, 19.6906, 3.5889, -19.3812
2.05, 19.7245, 3.39509, -19.4491
2.06, 19.7566, 3.2006, -19.5131
2.07, 19.7866, 3.00547, -19.5732
2.08, 19.8147, 2.80973, -19.6294
2.09, 19.8408, 2.61344, -19.6817
2.1, 19.865, 2.41662, -19.73
2.11, 19.8872, 2.21932, -19.7744
2.12, 19.9074, 2.02158, -19.8148
2.13, 19.9257, 1.82343, -19.8513
2.14, 19.9419, 1.62492, -19.8838
2.15, 19.9562, 1.42608, -19.9123
2.16, 19.9684, 1.22696, -19.9369
2.17, 19.9787, 1.02759, -19.9574
2.18, 19.987, 0.828013, -19.974
2.19, 19.9933, 0.628273, -19.9865
2.2, 19.9976, 0.428408, -19.9951
2.21, 19.9998, 0.228457, -19.9997
2.22, 20.0001, 0.0284601, -20.0002
2.23, 19.9984, -0.171542, -19.9968
2.24, 19.9947, -0.371511, -19.9894
2.25, 19.989, -0.571404, -19.978
2.26, 19.9813, -0.771184, -19.9625
2.27, 19.9716, -0.970809, -19.9431
2.28, 19.9599, -1.17024, -19.9197
2.29, 19.9462, -1.36944, -19.8923
2.3, 19.9305, -1.56836, -19.861
2.31, 19.9128, -1.76697, -19.8256
2.32, 19.8932, -1.96523, -19.7863
2.33, 19.8715, -2.16309, -19.743
2.34, 19.8479, -2.36052, -19.6958
2.35, 19.8223, -2.55748, -19.6447
2.36, 19.7948, -2.75393, -19.5896
2.37, 19.7653, -2.94982, -19.5306
2.38, 19.7339, -3.14513, -19.4677
2.39, 19.7005, -3.3398, -19.4009
2.4, 19.6651, -3.53381, -19.3302
2.41, 19.6278, -3.72712, -19.2557
2.42, 19.5887, -3.91967, -19.1773
2.43, 19.5475, -4.11145, -19.0951
2.44, 19.5045, -4.3024, -19.009
2.45, 19.4596, -4.49249, -18.9192
2.46, 19.4128, -4.68168, -18.8255
2.47, 19.3641, -4.86993, -18.7281
2.48, 19.3135, -5.05722, -18.627
2.49, 19.2611, -5.24349, -18.5221
2.5, 19.2068, -5.42871, -18.4136
2.51, 19.1506, -5.61284, -18.3013
2.52, 19.0927, -5.79586, -18.1854
2.53, 19.0329, -5.97771, -18.0658
2.54, 18.9713, -6.15837, -17.9427
2.55, 18.908, -6.33779, -17.8159
2.56, 18.8428, -6.51595, -17.6856
2.57, 18.7759, -6.69281, -17.5517
2.58, 18.7072, -6.86833, -17.4144
2.59, 18.6368, -7.04247, -17.2735
2.6, 18.5646, -7.21521, -17.1292
2.61, 18.4907, -7.3865, -16.9815
2.62, 18.4152, -7.55631, -16.8304
2.63, 18.3379, -7.72462, -16.6759
2.64, 18.259, -7.89137, -16.518
2.65, 18.1785, -8.05655, -16.3569
2.66, 18.0962, -8.22012, -16.1925
2.67, 18.0124, -8.38205, -16.0249
2.68, 17.927, -8.5423, -15.854
2.69, 17.84, -8.70084, -15.68
2.7, 17.7514, -8.85764, -15.5028
2.71, 17.6613, -9.01267, -15.3226
2.72, 17.5696, -9.16589, -15.1393
2.73, 17.4765, -9.31728, -14.9529
2.74, 17.3818, -9.46681, -14.7636
2.75, 17.2857, -9.61445, -14.5713
2.76, 17.188, -9.76016, -14.3761
2.77, 17.089, -9.90392, -14.178
2.78, 16.9886, -10.0457, -13.9771
2.79, 16.8867, -10.1855, -13.7734
2.8, 16.7835, -10.3232, -13.5669
2.81, 16.6789, -10.4589, -13.3578
2.82, 16.573, -10.5925, -13.1459
2.83, 16.4657, -10.7239, -12.9314
2.84, 16.3572, -10.8532, -12.7144
2.85, 16.2474, -10.9804, -12.4948
2.86, 16.1363, -11.1053, -12.2726
2.87, 16.024, -11.228, -12.0481
2.88, 15.9106, -11.3485, -11.8211
2.89, 15.7959, -11.4667, -11.5918
2.9, 15.6801, -11.5827, -11.3601
2.91, 15.5631, -11.6963, -11.1262
2.92, 15.445, -11.8075, -10.8901
2.93, 15.3259, -11.9164, -10.6517
2.94, 15.2056, -12.0229, -10.4113
2.95, 15.0844, -12.1271, -10.1687
2.96, 14.9621, -12.2287, -9.92415
2.97, 14.8388, -12.328, -9.67759
2.98, 14.7145, -12.4248, -9.4291
2.99, 14.5894, -12.519, -9.17871
3, 14.4632, -12.6108, -8.9265
3.01, 14.3362, -12.7001, -8.6725
3.02, 14.2084, -12.7868, -8.41676
3.03, 14.0797, -12.871, -8.15934
3.04, 13.9501, -12.9526, -7.90029
3.05, 13.8198, -13.0316, -7.63966
3.06, 13.6887, -13.108, -7.3775
3.07, 13.5569, -13.1818, -7.11386
3.08, 13.4244, -13.2529, -6.8488
3.09, 13.2912, -13.3214, -6.58238
3.1, 13.1573, -13.3872, -6.31463
3.11, 13.0228, -13.4504, -6.04562
3.12, 12.8877, -13.5108, -5.77541
3.13, 12.752, -13.5686, -5.50404
3.14, 12.6158, -13.6236, -5.23157
3.15, 12.479, -13.6759, -4.95805
3.16, 12.3418, -13.7255, -4.68354
3.17, 12.204, -13.7723, -4.40809
3.18, 12.0659, -13.8164, -4.13176
3.19, 11.9273, -13.8577, -3.85461
3.2, 11.7883, -13.8963, -3.57668
3.21, 11.649, -13.932, -3.29804
3.22, 11.5094, -13.965, -3.01874
3.23, 11.3694, -13.9952, -2.73884
3.24, 11.2292, -14.0226, -2.45838
3.25, 11.0887, -14.0472, -2.17744
3.26, 10.948, -14.069, -1.89606
3.27, 10.8072, -14.0879, -1.6143
3.28, 10.6661, -14.1041, -1.33222
3.29, 10.5249, -14.1174, -1.04987
3.3, 10.3837, -14.1279, -0.767315
3.31, 10.2423, -14.1356, -0.484604
3.32, 10.1009, -14.1404, -0.201796
3.33, 9.95947, -14.1424, 0.0810529
3.34, 9.81806, -14.1416, 0.363885
3.35, 9.67668, -14.138, 0.646645
3.36, 9.53536, -14.1315, 0.929275
3.37, 9.39414, -14.1222, 1.21172
3.38, 9.25304, -14.1101, 1.49392
3.39, 9.11209, -14.0952, 1.77582
3.4, 8.97131, -14.0774, 2.05737
3.41, 8.83075, -14.0568, 2.33851
3.42, 8.69041, -14.0334, 2.61918
3.43, 8.55034, -14.0073, 2.89932
3.44, 8.41056, -13.9783, 3.17889
3.45, 8.27109, -13.9465, 3.45782
3.46, 8.13197, -13.9119, 3.73606
3.47, 7.99323, -13.8745, 4.01355
3.48, 7.85488, -13.8344, 4.29023
3.49, 7.71697, -13.7915, 4.56606
3.5, 7.57951, -13.7458, 4.84098
3.51, 7.44254, -13.6974, 5.11493
3.52, 7.30607, -13.6463, 5.38785
3.53, 7.17015, -13.5924, 5.6597
3.54, 7.03479, -13.5358, 5.93042
3.55, 6.90003, -13.4765, 6.19995
3.56, 6.76588, -13.4145, 6.46824
3.57, 6.63238, -13.3498, 6.73523
3.58, 6.49956, -13.2825, 7.00088
3.59, 6.36743, -13.2124, 7.26513
3.6, 6.23604, -13.1398, 7.52793
3.61, 6.10539, -13.0645, 7.78922
3.62, 5.97552, -12.9866, 8.04895
3.63, 5.84646, -12.9061, 8.30707
3.64, 5.71823, -12.8231, 8.56353
3.65, 5.59086, -12.7374, 8.81828
3.66, 5.46437, -12.6492, 9.07127
3.67, 5.33878, -12.5585, 9.32244
3.68, 5.21413, -12.4653, 9.57175
3.69, 5.09043, -12.3696, 9.81914
3.7, 4.96772, -12.2714, 10.0646
3.71, 4.84601, -12.1708, 10.308
