========================================
Experiment: P Controller + Spring Mass Damper
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 20.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0

Plant
-----
Mass : 1.0 kg
Spring Constant : 2.0
Damping Coefficient : 1.0

Observed Results
----------------
- Position converges to the target.
- The position settled at aproxximately 5.0 m instead of the 10.0 m target
- Maximum observed position: 5.00 aproxx.
- A steady-state error of approximately 5.0 m remained.
- P control is not effective for removing steady-state error for spring mass damper

Explanation
-----------
At equilibrium, the velocity and acceleration become zero. The controller output (Kp × error) balances the spring restoring force (k × x). Since this balance occurs before the target position is reached, the error remains non-zero, resulting in a steady-state error.

Logs
----
time,position,velocity,controller_output
0, 0, 0, 20
0.01, 0.002, 0.2, 19.996
0.02, 0.0059792, 0.39792, 19.988
0.03, 0.0119162, 0.593702, 19.9762
0.04, 0.0197891, 0.787288, 19.9604
0.05, 0.0295753, 0.978624, 19.9408
0.06, 0.0412519, 1.16765, 19.9175
0.07, 0.0547952, 1.35433, 19.8904
0.08, 0.0701811, 1.53859, 19.8596
0.09, 0.0873851, 1.7204, 19.8252
0.1, 0.106382, 1.8997, 19.7872
0.11, 0.127147, 2.07645, 19.7457
0.12, 0.149653, 2.2506, 19.7007
0.13, 0.173874, 2.42211, 19.6523
0.14, 0.199783, 2.59093, 19.6004
0.15, 0.227353, 2.75703, 19.5453
0.16, 0.256557, 2.92036, 19.4869
0.17, 0.287366, 3.0809, 19.4253
0.18, 0.319752, 3.23859, 19.3605
0.19, 0.353686, 3.39342, 19.2926
0.2, 0.389139, 3.54534, 19.2217
0.21, 0.426082, 3.69432, 19.1478
0.22, 0.464486, 3.84033, 19.071
0.23, 0.504319, 3.98335, 18.9914
0.24, 0.545553, 4.12334, 18.9089
0.25, 0.588156, 4.26029, 18.8237
0.26, 0.632097, 4.39416, 18.7358
0.27, 0.677346, 4.52493, 18.6453
0.28, 0.723872, 4.65259, 18.5523
0.29, 0.771643, 4.77711, 18.4567
0.3, 0.820628, 4.89847, 18.3587
0.31, 0.870795, 5.01666, 18.2584
0.32, 0.922111, 5.13166, 18.1558
0.33, 0.974546, 5.24346, 18.0509
0.34, 1.02807, 5.35205, 17.9439
0.35, 1.08264, 5.4574, 17.8347
0.36, 1.13824, 5.55952, 17.7235
