========================================
Experiment: PD Controller + Point Mass
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 20.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0
Kd : 2.0

Plant
-----
Mass : 1.0 kg

Observed Results
----------------
- Position slowly converges to target
- Once target is reached, it oscillates around the target as the force approaches 0
- Maximum observed position: 10
- PI control is very stable for point mass

Logs
----
time,position,velocity,controller_output
0, 0, 0, 20
0.01, 0.002, 0.2, 19.596
0.02, 0.0059596, 0.39596, 19.1962
0.03, 0.0118388, 0.587922, 18.8005
0.04, 0.0195981, 0.775926, 18.409
0.05, 0.0291982, 0.960016, 18.0216
0.06, 0.0406006, 1.14023, 17.6383
0.07, 0.0537667, 1.31661, 17.2592
0.08, 0.0686588, 1.48921, 16.8843
0.09, 0.0852393, 1.65805, 16.5134
0.1, 0.103471, 1.82318, 16.1467
0.11, 0.123318, 1.98465, 15.7841
0.12, 0.144743, 2.14249, 15.4255
0.13, 0.16771, 2.29675, 15.0711
0.14, 0.192185, 2.44746, 14.7207
0.15, 0.218131, 2.59467, 14.3744
0.16, 0.245515, 2.73841, 14.0322
0.17, 0.274303, 2.87873, 13.6939
0.18, 0.304459, 3.01567, 13.3597
0.19, 0.335952, 3.14927, 13.0296
0.2, 0.368748, 3.27956, 12.7034
0.21, 0.402814, 3.4066, 12.3812
0.22, 0.438118, 3.53041, 12.0629
0.23, 0.474628, 3.65104, 11.7487
0.24, 0.512313, 3.76852, 11.4383
0.25, 0.551142, 3.88291, 11.1319
0.26, 0.591085, 3.99423, 10.8294
0.27, 0.63211, 4.10252, 10.5307
0.28, 0.674188, 4.20783, 10.236
0.29, 0.71729, 4.31019, 9.94504
0.3, 0.761386, 4.40964, 9.65795
0.31, 0.806449, 4.50622, 9.37467
0.32, 0.852448, 4.59996, 9.09517
0.33, 0.899357, 4.69092, 8.81945
0.34, 0.947149, 4.77911, 8.54748
0.35, 0.995794, 4.86459, 8.27924
0.36, 1.04527, 4.94738, 8.01471
0.37, 1.09554, 5.02752, 7.75386
0.38, 1.14659, 5.10506, 7.49668
0.39, 1.19839, 5.18003, 7.24315
0.4, 1.25092, 5.25246, 6.99324
0.41, 1.30414, 5.32239, 6.74693
0.42, 1.35804, 5.38986, 6.50419
0.43, 1.41259, 5.45491, 6.26501
0.44, 1.46777, 5.51756, 6.02936
0.45, 1.52354, 5.57785, 5.79721
0.46, 1.5799, 5.63582, 5.56855
0.47, 1.63682, 5.69151, 5.34335
0.48, 1.69427, 5.74494, 5.12158
0.49, 1.75223, 5.79616, 4.90323
0.5, 1.81068, 5.84519, 4.68826
0.51, 1.8696, 5.89207, 4.47665
0.52, 1.92897, 5.93684, 4.26839
0.53, 1.98877, 5.97952, 4.06343
