========================================
Experiment: PD Controller + Spring Mass Damper
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 20.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0
Kd : 2.0

Plant
-----
Mass : 1.0 kg
Spring Constant : 2.0
Damping Coefficient : 1.0

Observed Results
----------------
- Position converges to the target.
- The position settled at 5.0 m instead of the 10.0 m target
- Maximum observed position: 5.00
- A steady-state error of  5.0 m remained.
- PD control is not effective for removing steady-state error for spring mass damper

Explanation
-----------
At equilibrium, the velocity and acceleration become zero. The controller output (Kp × error) balances the spring restoring force (k × x). Since this balance occurs before the target position is reached, the error remains non-zero, resulting in a steady-state error.

Logs
----
time,position,velocity,controller_output
0, 0, 0, 20
0.01, 0.002, 0.2, 19.596
0.02, 0.0059392, 0.39392, 19.2003
0.03, 0.0117578, 0.581865, 18.8128
0.04, 0.0193972, 0.763939, 18.4333
0.05, 0.0287997, 0.940245, 18.0619
0.06, 0.0399085, 1.11089, 17.6984
0.07, 0.0526682, 1.27596, 17.3427
0.08, 0.0670239, 1.43558, 16.9948
0.09, 0.0829222, 1.58983, 16.6545
0.1, 0.10031, 1.73882, 16.3217
0.11, 0.119137, 1.88264, 15.9964
0.12, 0.139351, 2.0214, 15.6785
0.13, 0.160903, 2.15518, 15.3678
0.14, 0.183743, 2.28409, 15.0643
0.15, 0.207826, 2.40822, 14.7679
0.16, 0.233102, 2.52766, 14.4785
0.17, 0.259527, 2.6425, 14.1959
0.18, 0.287056, 2.75285, 13.9202
0.19, 0.315643, 2.85878, 13.6512
0.2, 0.345247, 2.96039, 13.3887
0.21, 0.375825, 3.05777, 13.1328
0.22, 0.407335, 3.151, 12.8833
0.23, 0.439737, 3.24018, 12.6402
0.24, 0.472991, 3.32538, 12.4033
0.25, 0.507058, 3.4067, 12.1725
0.26, 0.5419, 3.48422, 11.9478
0.27, 0.57748, 3.55802, 11.729
0.28, 0.613762, 3.62818, 11.5161
0.29, 0.65071, 3.69478, 11.309
0.3, 0.688289, 3.75791, 11.1076
0.31, 0.726465, 3.81764, 10.9118
0.32, 0.765206, 3.87405, 10.7215
0.33, 0.804478, 3.92722, 10.5366
0.34, 0.84425, 3.97723, 10.357
0.35, 0.884491, 4.02414, 10.1827
0.36, 0.925172, 4.06804, 10.0136
0.37, 0.966262, 4.10899, 9.8495
