========================================
Experiment: PI Controller + Point Mass
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 20.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0
Ki : 1.0

Plant
-----
Mass : 1.0 kg

Observed Results
----------------
- Position overshot the target significantly.
- Oscillations increased over time.
- Maximum observed position: 700+
- PI control is very unstable for point mass

Logs
----
time,position,velocity,controller_output
0, 0, 0, 20.1
0.01, 0.00201, 0.201, 20.196
0.02, 0.0060396, 0.40296, 20.2878
0.03, 0.012098, 0.605838, 20.3756
0.04, 0.0201939, 0.809594, 20.4592
0.05, 0.0303358, 1.01419, 20.5386
0.06, 0.0425315, 1.21957, 20.6138
0.07, 0.0567886, 1.42571, 20.6847
0.08, 0.0731142, 1.63256, 20.7513
0.09, 0.0915149, 1.84007, 20.8136
0.1, 0.111997, 2.04821, 20.8715
0.11, 0.134566, 2.25692, 20.9251
0.12, 0.159228, 2.46617, 20.9741
0.13, 0.185987, 2.67591, 21.0188
0.14, 0.214848, 2.8861, 21.0589
0.15, 0.245815, 3.09669, 21.0945
0.16, 0.278891, 3.30764, 21.1256
0.17, 0.31408, 3.51889, 21.152
0.18, 0.351384, 3.73041, 21.1739
0.19, 0.390806, 3.94215, 21.1912
0.2, 0.432347, 4.15406, 21.2038
0.21, 0.476008, 4.3661, 21.2117
0.22, 0.52179, 4.57822, 21.2149
0.23, 0.569693, 4.79037, 21.2134
0.24, 0.619718, 5.0025, 21.2071
0.25, 0.671864, 5.21457, 21.1961
0.26, 0.726129, 5.42653, 21.1803
0.27, 0.782513, 5.63834, 21.1598
0.28, 0.841012, 5.84993, 21.1343
0.29, 0.901625, 6.06128, 21.1041
0.3, 0.964348, 6.27232, 21.069
0.31, 1.02918, 6.48301, 21.0291
0.32, 1.09611, 6.6933, 20.9842
0.33, 1.16514, 6.90314, 20.9345
0.34, 1.23627, 7.11249, 20.8799
0.35, 1.30948, 7.32129, 20.8204
0.36, 1.38478, 7.52949, 20.7559
0.37, 1.46215, 7.73705, 20.6866
0.38, 1.54158, 7.94391, 20.6123
0.39, 1.62309, 8.15004, 20.5331
0.4, 1.70664, 8.35537, 20.4489
0.41, 1.79224, 8.55986, 20.3598
0.42, 1.87987, 8.76345, 20.2657
0.43, 1.96953, 8.96611, 20.1667
0.44, 2.06121, 9.16778, 20.0627
0.45, 2.15489, 9.36841, 19.9538
0.46, 2.25057, 9.56794, 19.8399
0.47, 2.34824, 9.76634, 19.7211
0.48, 2.44787, 9.96355, 19.5974
0.49, 2.54947, 10.1595, 19.4687
0.5, 2.65301, 10.3542, 19.3351
0.51, 2.75849, 10.5476, 19.1965
0.52, 2.86588, 10.7395, 19.0531
0.53, 2.97518, 10.9301, 18.9047
0.54, 3.08637, 11.1191, 18.7515
0.55, 3.19944, 11.3066, 18.5934
0.56, 3.31437, 11.4926, 18.4304
0.57, 3.43113, 11.6769, 18.2625
0.58, 3.54973, 11.8595, 18.0898
0.59, 3.67013, 12.0404, 17.9123
0.6, 3.79233, 12.2195, 17.73
0.61, 3.9163, 12.3968, 17.5429
0.62, 4.04202, 12.5722, 17.351
0.63, 4.16948, 12.7457, 17.1544
0.64, 4.29865, 12.9173, 16.9531
0.65, 4.42952, 13.0868, 16.7471
0.66, 4.56206, 13.2543, 16.5364
0.67, 4.69626, 13.4197, 16.321
0.68, 4.83208, 13.5829, 16.101
0.69, 4.96952, 13.7439, 15.8765
0.7, 5.10855, 13.9026, 15.6473
0.71, 5.24914, 14.0591, 15.4136
0.72, 5.39127, 14.2133, 15.1755
0.73, 5.53492, 14.365, 14.9328
0.74, 5.68007, 14.5143, 14.6857
0.75, 5.82668, 14.6612, 14.4342
0.76, 5.97473, 14.8055, 14.1784
0.77, 6.12421, 14.9473, 13.9182
0.78, 6.27507, 15.0865, 13.6537
0.79, 6.4273, 15.223, 13.385
0.8, 6.58087, 15.3569, 13.112
0.81, 6.73575, 15.488, 12.8349
0.82, 6.89192, 15.6164, 12.5537
0.83, 7.04933, 15.7419, 12.2683
0.84, 7.20798, 15.8646, 11.979
0.85, 7.36782, 15.9844, 11.6856
0.86, 7.52884, 16.1012, 11.3883
0.87, 7.69099, 16.2151, 11.0871
0.88, 7.85425, 16.326, 10.782
0.89, 8.01858, 16.4338, 10.4732
0.9, 8.18397, 16.5385, 10.1605
0.91, 8.35037, 16.6401, 9.84424
