========================================
Experiment: PI Controller + Spring Mass Damper
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 50.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0
Ki : 1.0

Plant
-----
Mass : 1.0 kg
Spring Constant : 2.0
Damping Coefficient : 1.0

Observed Results
----------------
- Position converges to the target.
- The steps become shorter and shorter
- Maximum observed position: 9.99999
- PI control is stabe for spring mass damper

Logs
----
time,position,velocity,controller_output
0, 0, 0, 20.1
0.01, 0.00201, 0.201, 20.196
0.02, 0.00601909, 0.400909, 20.2879
0.03, 0.0120157, 0.599659, 20.3758
0.04, 0.0199875, 0.79718, 20.4596
0.05, 0.0299215, 0.993404, 20.5395
0.06, 0.0418042, 1.18827, 20.6153
0.07, 0.0556212, 1.3817, 20.6871
0.08, 0.0713576, 1.57364, 20.7549
0.09, 0.0889979, 1.76403, 20.8187
0.1, 0.108526, 1.95279, 20.8786
0.11, 0.129925, 2.13988, 20.9345
0.12, 0.153177, 2.32523, 20.9865
0.13, 0.178265, 2.50878, 21.0345
0.14, 0.205169, 2.69047, 21.0786
0.15, 0.233872, 2.87025, 21.1189
0.16, 0.264352, 3.04806, 21.1553
0.17, 0.296591, 3.22384, 21.1878
0.18, 0.330566, 3.39755, 21.2166
0.19, 0.366258, 3.56913, 21.2415
0.2, 0.403643, 3.73853, 21.2627
0.21, 0.4427, 3.9057, 21.2802
0.22, 0.483406, 4.07059, 21.2939
0.23, 0.525737, 4.23315, 21.304
0.24, 0.569671, 4.39335, 21.3105
0.25, 0.615182, 4.55113, 21.3133
0.26, 0.662247, 4.70644, 21.3125
0.27, 0.710839, 4.85926, 21.3082
0.28, 0.760934, 5.00953, 21.3004
0.29, 0.812507, 5.15722, 21.2892
0.3, 0.86553, 5.30229, 21.2745
0.31, 0.919977, 5.4447, 21.2564
0.32, 0.975821, 5.58442, 21.2349
0.33, 1.03303, 5.72141, 21.2102
0.34, 1.09159, 5.85564, 21.1821
0.35, 1.15146, 5.98707, 21.1509
0.36, 1.21262, 6.11568, 21.1164
0.37, 1.27503, 6.24143, 21.0789
0.38, 1.33868, 6.36431, 21.0382
0.39, 1.40352, 6.48427, 20.9945
0.4, 1.46953, 6.6013, 20.9478
0.41, 1.53669, 6.71538, 20.8981
0.42, 1.60495, 6.82647, 20.8455
0.43, 1.6743, 6.93456, 20.7901
0.44, 1.74469, 7.03963, 20.7318
0.45, 1.81611, 7.14166, 20.6708
0.46, 1.88852, 7.24063, 20.6071
0.47, 1.96188, 7.33652, 20.5408
0.48, 2.03617, 7.42933, 20.4718
0.49, 2.11136, 7.51903, 20.4003
0.5, 2.18742, 7.60562, 20.3264
0.51, 2.26431, 7.68908, 20.2499
0.52, 2.34201, 7.7694, 20.1711
0.53, 2.42047, 7.84658, 20.09
0.54, 2.49968, 7.9206, 20.0066
0.55, 2.57959, 7.99147, 19.921
0.56, 2.66018, 8.05917, 19.8332
0.57, 2.74142, 8.12371, 19.7433
0.58, 2.82327, 8.18507, 19.6513
0.59, 2.9057, 8.24327, 19.5574
0.6, 2.98869, 8.2983, 19.4616
0.61, 3.07219, 8.35016, 19.3638
0.62, 3.15618, 8.39885, 19.2643
0.63, 3.24062, 8.44438, 19.163
0.64, 3.32549, 8.48676, 19.06
0.65, 3.41075, 8.52598, 18.9554
0.66, 3.49637, 8.56206, 18.8492
0.67, 3.58232, 8.595, 18.7415
0.68, 3.66857, 8.62482, 18.6323
0.69, 3.75508, 8.65152, 18.5217
0.7, 3.84183, 8.67512, 18.4098
0.71, 3.92879, 8.69563, 18.2966
0.72, 4.01592, 8.71307, 18.1822
0.73, 4.10319, 8.72744, 18.0666
0.74, 4.19058, 8.73877, 17.9499
0.75, 4.27805, 8.74707, 17.8322
0.76, 4.36558, 8.75236, 17.7135
0.77, 4.45312, 8.75466, 17.5939
0.78, 4.54066, 8.75399, 17.4734
0.79, 4.62817, 8.75037, 17.3521
0.8, 4.7156, 8.74382, 17.23
0.81, 4.80295, 8.73437, 17.1073
0.82, 4.89017, 8.72204, 16.984
0.83, 4.97724, 8.70686, 16.8601
0.84, 5.06413, 8.68884, 16.7357
0.85, 5.15081, 8.66803, 16.6108
0.86, 5.23725, 8.64444, 16.4855
0.87, 5.32343, 8.61811, 16.3599
0.88, 5.40932, 8.58906, 16.2341
0.89, 5.4949, 8.55732, 16.108
