========================================
Experiment: PID Controller + Point Mass
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 30.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0
Ki : 1.0
Kd : 2.0

Plant
-----
Mass : 1.0 kg

Observed Results
----------------
- Position converges to the target.
- The steps become shorter and shorter
- Maximum observed position: 10
- PID control is very stabe for spring mass damper

Logs
----
time,position,velocity,controller_output
0, 0, 0, 20.1
0.01, 0.00201, 0.201, 19.794
0.02, 0.0059994, 0.39894, 19.49
0.03, 0.0119378, 0.59384, 19.1882
0.04, 0.019795, 0.785722, 18.8886
0.05, 0.0295411, 0.974608, 18.591
0.06, 0.0411463, 1.16052, 18.2956
0.07, 0.054581, 1.34347, 18.0022
0.08, 0.069816, 1.5235, 17.711
0.09, 0.0868221, 1.70061, 17.4219
0.1, 0.10557, 1.87483, 17.1349
0.11, 0.126032, 2.04618, 16.8501
0.12, 0.148179, 2.21468, 16.5673
0.13, 0.171982, 2.38035, 16.2866
0.14, 0.197414, 2.54321, 16.008
0.15, 0.224447, 2.70329, 15.7316
0.16, 0.253054, 2.86061, 15.4572
0.17, 0.283205, 3.01518, 15.1849
0.18, 0.314876, 3.16703, 14.9147
0.19, 0.348037, 3.31618, 14.6466
0.2, 0.382664, 3.46264, 14.3806
0.21, 0.418728, 3.60645, 14.1167
0.22, 0.456205, 3.74762, 13.8548
0.23, 0.495066, 3.88617, 13.5951
0.24, 0.535287, 4.02212, 13.3374
0.25, 0.576842, 4.15549, 13.0817
0.26, 0.619705, 4.28631, 12.8282
0.27, 0.663851, 4.41459, 12.5767
0.28, 0.709255, 4.54036, 12.3273
0.29, 0.755891, 4.66363, 12.0799
0.3, 0.803735, 4.78443, 11.8346
0.31, 0.852763, 4.90277, 11.5913
0.32, 0.90295, 5.01869, 11.3501
0.33, 0.954272, 5.13219, 11.1109
0.34, 1.0067, 5.2433, 10.8737
0.35, 1.06023, 5.35203, 10.6386
0.36, 1.11481, 5.45842, 10.4055
0.37, 1.17043, 5.56247, 10.1744
0.38, 1.22708, 5.66422, 9.9454
0.39, 1.28471, 5.76367, 9.71837
0.4, 1.34332, 5.86086, 9.49336
0.41, 1.40288, 5.95579, 9.27034
0.42, 1.46336, 6.04849, 9.04933
0.43, 1.52475, 6.13899, 8.83032
0.44, 1.58703, 6.22729, 8.6133
0.45, 1.65016, 6.31342, 8.39826
0.46, 1.71414, 6.39741, 8.18521
0.47, 1.77893, 6.47926, 7.97413
0.48, 1.84452, 6.559, 7.76502
0.49, 1.91088, 6.63665, 7.55788
0.5, 1.97801, 6.71223, 7.3527
0.51, 2.04586, 6.78575, 7.14947
0.52, 2.11444, 6.85725, 6.94819
0.53, 2.1837, 6.92673, 6.74885
0.54, 2.25365, 6.99422, 6.55146
0.55, 2.32424, 7.05973, 6.35599
