========================================
Experiment: PID Controller + Spring Mass Damper
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 50.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0
Ki : 1.0
Kd : 2.0

Plant
-----
Mass : 1.0 kg
Spring Constant : 2.0
Damping Coefficient : 1.0

Observed Results
----------------
- Position converges to the target.
- The steps become shorter and shorter
- Maximum observed position: 10
- PID control is very stabe for spring mass damper

Logs
----
time,position,velocity,controller_output
0, 0, 0, 20.1
0.01, 0.00201, 0.201, 19.794
0.02, 0.00597889, 0.396889, 19.4942
0.03, 0.0118563, 0.587743, 19.2006
0.04, 0.0195927, 0.773634, 18.9132
0.05, 0.029139, 0.954638, 18.6318
0.06, 0.0404473, 1.13083, 18.3564
0.07, 0.05347, 1.30227, 18.0869
0.08, 0.0681605, 1.46905, 17.8233
0.09, 0.0844728, 1.63123, 17.5654
0.1, 0.102362, 1.78888, 17.3133
0.11, 0.121782, 1.94208, 17.0669
0.12, 0.142691, 2.09089, 16.826
0.13, 0.165045, 2.23539, 16.5907
0.14, 0.188802, 2.37564, 16.3608
0.15, 0.213919, 2.51172, 16.1362
0.16, 0.240356, 2.64368, 15.917
0.17, 0.268072, 2.77161, 15.7031
0.18, 0.297027, 2.89556, 15.4943
0.19, 0.327183, 3.01561, 15.2906
0.2, 0.358501, 3.13181, 15.092
0.21, 0.390944, 3.24425, 14.8983
0.22, 0.424474, 3.35297, 14.7096
0.23, 0.459054, 3.45804, 14.5257
0.24, 0.494649, 3.55954, 14.3465
0.25, 0.531225, 3.65752, 14.1721
0.26, 0.568745, 3.75204, 14.0023
0.27, 0.607177, 3.84317, 13.8371
0.28, 0.646486, 3.93096, 13.6765
0.29, 0.686641, 4.01549, 13.5202
0.3, 0.727609, 4.0968, 13.3684
0.31, 0.769359, 4.17497, 13.2209
0.32, 0.811859, 4.25004, 13.0776
0.33, 0.85508, 4.32208, 12.9385
0.34, 0.898991, 4.39114, 12.8036
0.35, 0.943564, 4.45728, 12.6727
0.36, 0.98877, 4.52057, 12.5459
0.37, 1.03458, 4.58104, 12.4229
0.38, 1.08097, 4.63877, 12.3039
0.39, 1.12791, 4.6938, 12.1887
0.4, 1.17537, 4.74619, 12.0772
0.41, 1.22333, 4.796, 11.9695
0.42, 1.27176, 4.84327, 11.8654
0.43, 1.32064, 4.88805, 11.7648
0.44, 1.36995, 4.93041, 11.6678
0.45, 1.41965, 4.97038, 11.5742
0.46, 1.46973, 5.00803, 11.4841
0.47, 1.52016, 5.04339, 11.3973
0.48, 1.57093, 5.07653, 11.3138
0.49, 1.622, 5.10748, 11.2335
0.5, 1.67337, 5.1363, 11.1564
0.51, 1.725, 5.16304, 11.0824
0.52, 1.77687, 5.18773, 11.0115
0.53, 1.82898, 5.21043, 10.9436
0.54, 1.88129, 5.23118, 10.8787
